district,presidential,parliamentary
Kalungu,17105,17881
Sheema,65220,40742
Kibuku,34078,31083
Kole,46900,17180
Kween,27467,21053
Lwengo,37412,32493
Kabarole,75811,51824
Mitooma,54935,49810
Napak,32490,24396
Ngora,24662,17220
Buhweju,41423,24192
Nwoya,13910,10005
Agago,47696,27231
Rubirizi,39686,25249
Kagadi,88830,57097
Kakumiro,73132,49483
Omoro,21819,16831
Kalangala,5275,6884
Rubanda,67263,38173
Namisindwa,40563,21799
Pakwach,32354,21586
Butebo,23532,16747
Rukiga,31251,10550
Kyotera,16019,28744
Bunyangabu,44435,31353
Nabilatuk,16038,0
Bugweri,17428,13141
Kassanda,37265,32742
Kampala,128658,83928
Kwania,36364,21622
Kapelebyong,17529,9566
Kikuube,49490,31374
Obongi,7676,6726
Kazo,73043,17733
Apac,31908,19538
Rwampara,35981,21267
Kitagwenda,40417,27538
Kamuli,57470,56550
Madi Okollo,25779,18192
Karenga,12819,7322
Kapchorwa,30590,21994
Kasese,109275,97155
Kibaale,35804,0
Kiboga,24254,27770
Kisoro,98694,62587
Kitgum,26880,16863
Kotido,32310,22174
Arua,88108,50259
Kumi,38234,34844
Lira,67179,35164
Luweero,41166,43366
Masaka,24580,27647
Masindi,55604,27983
Mbale,66823,50196
Mbarara,86273,47362
Moroto,21342,12625
Moyo,18227,14316
Mpigi,22333,22159
Mubende,71834,58901
Bundibugyo,52408,40664
Mukono,48062,38221
Nebbi,47285,33009
Ntungamo,161655,117786
Pallisa,53788,34144
Rakai,56867,29587
Rukungiri,77410,49865
Soroti,46621,28671
Tororo,86248,74848
Adjumani,35125,22241
Bugiri,45980,47341
Bushenyi,66572,46680
Busia,44679,36278
Katakwi,40777,30273
Nakasongola,35823,32358
Ssembabule,45234,27432
Kamwenge,85241,0
Kayunga,35881,37585
Kyenjojo,110869,77282
Mayuge,50932,55786
Pader,28233,9305
Sironko,43275,0
Wakiso,122505,89658
Gulu,23683,11659
Yumbe,50686,40837
Kaberamaido,43145,35202
Kanungu,72126,52668
Nakapiripirit,22029,11853
Amolatar,38619,20948
Amuria,34666,35316
Bukwo,27888,15040
Butaleja,37856,37205
Ibanda,77521,51388
Isingiro,188609,104680
Hoima,58182,19890
Kaabong,26100,16672
Kaliro,38189,29164
Kiruhura,75483,31851
Koboko,34410,24974
Mityana,38163,36604
Manafwa,32999,26409
Nakaseke,38009,16928
Abim,18254,14738
Amuru,18742,11555
Budaka,33261,18847
Iganga,35660,28445
Buliisa,19316,12340
Dokolo,36774,24713
Namutumba,38427,35494
Oyam,62292,28399
Maracha,33674,38912
Bududa,29224,19220
Bukedea,37590,31829
Lyantonde,23967,13721
Amudat,30451,16241
Buikwe,40900,31159
Buyende,47916,42562
Jinja,44207,44877
Kyegegwa,69129,32687
Lamwo,19322,16393
Otuke,25464,15838
Zombo,45578,45494
Alebtong,42832,29499
Bulambuli,38972,31780
Buvuma,6814,12151
Gomba,24568,21184
Kiryandongo,38083,30248
Kyankwanzi,39859,25877
Luuka,27520,33069
Kabale,75032,48036
Namayingo,27341,16543
Ntoroko,19670,9963
Serere,38555,22504
Bukomansimbi,13649,10386
Butambala,0,12040
