district,presidential,parliamentary
Kalungu,40578,25894
Sheema,8851,123
Kibuku,23624,3897
Kibaale,5429,0
Mbale,71202,11203
Lwengo,50583,3210
Busia,45166,5089
Mbarara,17248,3344
Soroti,9180,233
Ngora,2237,55
Wakiso,425002,301413
Nwoya,5732,449
Agago,10559,72
Kampala,391787,274863
Kagadi,15758,633
Kakumiro,10903,1272
Omoro,7718,452
Kalangala,13121,2317
Rubanda,5735,19
Namisindwa,12780,4534
Pakwach,12576,0
Rukiga,3959,0
Kyotera,36142,14069
Bunyangabu,9816,0
Nabilatuk,272,0
Bugweri,25939,2624
Kassanda,44990,336882
Kwania,13041,2748
Kapelebyong,13041,0
Kikuube,1387,0
Obongi,10771,0
Kazo,2769,0
Apac,879,0
Rwampara,16485,412
Kitagwenda,3710,0
Kamuli,4488,15777
Madi Okollo,65774,0
Karenga,7611,450
Kapchorwa,751,0
Kasese,7542,5267
Kibaale,102384,0
Kiboga,5429,16315
Kisoro,23764,202
Kitgum,7241,0
Kotido,14869,0
Arua,2823,9648
Kumi,53179,267
Lira,2105,397
Luweero,35588,0
Masaka,103782,52482
Masindi,71509,1382
Mbarara,71202,3324
Moroto,17248,0
Moyo,1417,0
Mpigi,4648,33865
Mubende,60815,17912
Bundibugyo,40980,1571
Mukono,18076,81966
Nebbi,134591,752
Ntungamo,15421,0
Pallisa,12503,543
Rakai,16362,9300
Rukungiri,46257,0
Soroti,6501,233
Tororo,9180,2145
Adjumani,54556,0
Bugiri,7866,12225
Bushenyi,49475,539
Busia,10937,5089
Katakwi,45166,193
Nakasongola,2108,11003
Ssembabule,18213,14054
Kamwenge,33524,0
Kayunga,3969,25370
Kyenjojo,64172,1373
Mayuge,15158,3768
Pader,62938,300
Sironko,8292,1934
Gulu,425002,300
Yumbe,9764,2602
Kaberamaido,16890,0
Kanungu,12897,321
Nakapiripirit,6722,0
Amolatar,978,227
Amuria,7185,1175
Bukwo,3380,0
Butaleja,3032,1243
Ibanda,29037,0
Isingiro,7702,1030
Hoima,8769,2012
Kaabong,22635,0
Kaliro,1218,158
Kiruhura,27032,0
Koboko,616,0
Mityana,10719,57318
Manafwa,72955,1157
Nakaseke,13740,9298
Abim,32063,0
Amuru,3956,360
Budaka,7466,1052
Iganga,27281,8813
Buliisa,54712,0
Dokolo,6152,706
Namutumba,15364,4983
Oyam,27504,0
Maracha,27351,2188
Bududa,10127,10192
Bukedea,14666,617
Lyantonde,4980,0
Amudat,7726,0
Buikwe,625,0
Buyende,81852,2016
Jinja,30252,16972
Kyegegwa,80767,0
Lamwo,10656,0
Otuke,8621,195
Zombo,4949,0
Alebtong,9111,0
Bulambuli,16794,0
Buvuma,10788,2486
Gomba,13572,23504
Kiryandongo,29017,1882
Kyankwanzi,13893,10269
Luuka,24529,1620
Kabale,31842,0
Namayingo,8168,6118
Ntoroko,27651,0
Serere,4212,475
Bukomansimbi,6013,18817
Butambala,32155,24070
